,index,Original_term,term,component,n,E,P,A,E_std,P_std,A_std
3546,3547,scumbag,scumbag,identity,1,-2.38,-0.96,0.35,0.21,0.16,0.11
3547,3548,sdlp_member,sdlp member,identity,1,0.45,0.45,0.56,0.14,0.12,0.09
3548,3549,search,searches,behavior,17,0.05,0.74,0.38,0.17,0.08,0.09
3549,3550,search_for,searches for,behavior,2,0.69,1.03,-0.37,0.16,0.08,0.1
3550,3551,secret_agent,secret agent,identity,2,0.33,1.8,0.24,0.14,0.21,0.11
3551,3552,secretary,secretary,identity,18,1.56,-0.26,-0.24,0.15,0.15,0.09
3552,3553,secretary_of_state,secretary of state,identity,1,1.06,1.06,0.28,0.24,0.23,0.11
3553,3554,secretaryf,secretaryf,identity,2,1,-0.02,-0.01,0.14,0.14,0.12
3554,3555,secretarym,secretarym,identity,2,0.77,-0.17,-0.48,0.17,0.17,0.09
3555,3556,secretive,secretive,modifier,10,-0.11,0.59,-1.56,0.21,0.13,0.17
3556,3557,section_chief,section chief,identity,1,0.9,1.67,0.74,0.15,0.22,0.13
3557,3558,secular_person,secular person,identity,1,0.61,0.23,-0.14,0.12,0.12,0.11
3558,3559,secularist,secularist,identity,1,0.01,0.23,-0.28,0.18,0.15,0.12
3559,3560,secure,secure,modifier,11,3.14,2.8,-0.78,0.27,0.16,0.15
3560,3561,security_guard,security guard,identity,7,1.28,1.34,-0.17,0.13,0.12,0.11
3561,3562,seduce,seduces,behavior,17,0.95,1.92,-0.36,0.22,0.1,0.12
3562,3563,see,sees,behavior,1,1.09,1.32,-0.27,0.2,0.09,0.12
3563,3564,seek_advice_from,seeks advice from,behavior,8,1.71,1.28,-0.2,0.17,0.08,0.1
3564,3565,seize,seizes,behavior,15,-1.6,1.94,1.57,0.24,0.1,0.1
3565,3566,self_assured,self assured,modifier,9,2.63,2.53,0.12,0.22,0.14,0.12
3566,3567,self_centered,self centered,modifier,14,-2.41,-0.53,0.6,0.21,0.13,0.12
3567,3568,self_confident,self confident,modifier,7,3.01,2.96,0.81,0.23,0.18,0.13
3568,3569,self_conscious,self conscious,modifier,15,-1.58,-0.88,-0.97,0.16,0.14,0.12
3569,3570,self_deceiver,self deceiver,identity,2,-0.97,0.19,-0.8,0.23,0.18,0.19
3570,3571,self_denying,self denying,modifier,5,-1.05,-0.03,-0.6,0.23,0.15,0.17
3571,3572,self_disciplined,self disciplined,modifier,9,3.06,2.72,-0.77,0.21,0.16,0.14
3572,3573,self_doubting,self doubting,modifier,1,-1.83,-0.83,-1,0.24,0.17,0.13
3573,3574,self_employed_worker,self employed worker,identity,7,1.39,0.11,0.16,0.13,0.17,0.09
3574,3575,self_pity,self pity,modifier,1,-1.93,-1.37,-2.19,0.24,0.17,0.2
3575,3576,self_pitying,self pitying,modifier,14,-2.36,-1.66,-1.81,0.24,0.18,0.17
3576,3577,self_righteous,self righteous,modifier,14,1.55,2.01,1.09,0.23,0.14,0.15
3577,3578,self_sacrificing,self sacrificing,modifier,7,0.08,0.92,-0.53,0.26,0.17,0.16
3578,3579,self_satisfied,self satisfied,modifier,11,2.48,2.36,0.41,0.22,0.15,0.12
3579,3580,selfish,selfish,modifier,16,-2.13,-0.32,0.28,0.21,0.14,0.12
3580,3581,sell_something,sells something,behavior,1,-0.36,1.47,0.63,0.23,0.09,0.09
3581,3582,sell_something_to,sells something to,behavior,12,0.07,1.39,0.48,0.19,0.09,0.11
3582,3583,sell_to,sells to,behavior,2,-0.08,1.16,0.69,0.21,0.09,0.1
3583,3584,selling_nonmilitary_goods,sells nonmilitary goods,behavior,1,-0.36,1.43,0.58,0.23,0.08,0.1
3584,3585,semi_conductor_maker,semi conductor maker,identity,1,0.94,0.76,0.48,0.14,0.15,0.15
3585,3586,seminarian,seminarian,identity,1,1.19,0.9,-0.25,0.15,0.15,0.13
3586,3587,senator,senator,identity,9,0.24,2.05,0.84,0.14,0.15,0.1
3587,3588,send_packing,sends packing,behavior,1,0.08,1.62,0.48,0.22,0.08,0.09
3588,3589,senior,senior,identity,3,1.41,1.39,0.4,0.13,0.19,0.13
3589,3590,senior_citizen,senior citizen,identity,14,1.49,-0.63,-1.57,0.16,0.19,0.19
3590,3591,sensitive,sensitive,modifier,10,0.69,0.28,-1.15,0.21,0.15,0.13
3591,3592,sensitive_temperamental,sensitive temperamental,modifier,2,0.26,0.17,-0.92,0.19,0.14,0.12
3592,3593,sensuous,sensuous,modifier,10,1.75,1.47,-1.04,0.18,0.13,0.14
3593,3594,sentence,sentences,behavior,13,-0.73,1.38,0.46,0.21,0.16,0.12
3594,3595,sentimental,sentimental,modifier,15,1.68,0.84,-1.16,0.2,0.14,0.14
3595,3596,serb,serb,identity,1,0.05,0.24,0.75,0.15,0.12,0.08
3596,3597,serenade,serenades,behavior,16,2.24,1.7,-0.06,0.2,0.09,0.1
3597,3598,serene,serene,modifier,15,2.6,1.81,-1.94,0.24,0.16,0.19
3598,3599,sergeant,sergeant,identity,1,1.61,1.96,1.05,0.15,0.18,0.15
3599,3600,serial_killer,serial killer,identity,1,-3,1.46,0.66,0.29,0.17,0.13
3600,3601,serial_murderer,serial murderer,identity,6,-3.4,1.13,0.34,0.29,0.15,0.14
3601,3602,serious,serious,modifier,11,1.32,1.49,-0.99,0.21,0.14,0.14
3602,3603,servant,servant,identity,13,0.33,-1.83,-1.14,0.17,0.21,0.15
3603,3604,serve,serves,behavior,20,2.08,1.92,-0.09,0.21,0.1,0.13
3604,3605,server,server,identity,9,1.6,-0.1,0.65,0.15,0.14,0.1
3605,3606,sewing_for_someone,sews for,behavior,1,0.5,1.09,-0.24,0.16,0.07,0.13
3606,3607,sewing_machine_operator,sewing machine operator,identity,7,0.94,-0.6,-0.06,0.13,0.14,0.11
3607,3608,sewing_machinist,sewing machinist,identity,1,0.95,0.21,0.11,0.17,0.13,0.12
3608,3609,sex_maniac,sex maniac,identity,2,-2.18,0.28,1.8,0.24,0.14,0.14
3609,3610,sex_pervert,sex pervert,identity,1,-2.28,-0.45,0.27,0.27,0.15,0.13
3610,3611,sex_worker,sex worker,identity,2,0.25,0.27,0.79,0.2,0.16,0.1
3611,3612,sexist,sexist,identity,4,-2.14,0.27,0.8,0.18,0.14,0.09
3612,3613,sexpot,sexpot,identity,3,-1.13,-0.18,0.94,0.18,0.15,0.11
3613,3614,sexton,sexton,identity,1,0.66,1.18,-0.05,0.17,0.15,0.11
3614,3615,sexually_arouse,sexually arouses,behavior,12,2.19,2.26,0.87,0.2,0.09,0.08
3615,3616,sexually_proposition,sexually proposition,behavior,9,-0.85,0.89,0.89,0.37,0.15,0.16
3616,3617,sexy,sexy,modifier,9,2.26,2.05,0.67,0.19,0.14,0.13
3617,3618,shackle,shackles,behavior,5,-2.01,1.35,-0.02,0.22,0.09,0.12
3618,3619,shaft,shafts,behavior,10,-2.25,0.81,0.85,0.23,0.09,0.12
3619,3620,shake_hands_with,shakes hands with,behavior,12,2.11,1.65,0.33,0.19,0.08,0.1
3620,3621,shaken,shaken,modifier,11,-1.12,-0.37,-0.22,0.21,0.15,0.18
3621,3622,shaking,shakes ,behavior,1,-0.73,1.02,0.73,0.19,0.09,0.13
3622,3623,shaking_ones_head,shakes ones head,behavior,1,-0.8,0.64,0.39,0.19,0.08,0.11
3623,3624,shallow,shallow,modifier,9,-2.08,-1.43,0.07,0.18,0.17,0.13
3624,3625,shaman,shaman,identity,1,1.81,1.54,-0.62,0.16,0.14,0.15
3625,3626,shame,shames ,behavior,12,-2.25,0.62,0.5,0.2,0.08,0.09
3626,3627,shame_embarrass,shames embarrass,behavior,2,-2.5,0.65,0.96,0.2,0.07,0.11
3627,3628,shameless_person,shameless person,identity,1,0.05,0.24,0.1,0.29,0.24,0.13
3628,3629,share_pleasure_with,shares pleasure with,behavior,1,3.04,2.23,0.27,0.24,0.09,0.1
3629,3630,share_something_with,shares something with,behavior,12,2.55,2.02,-0.02,0.19,0.08,0.09
3630,3631,shareholder,shareholder,identity,1,0.95,1.33,0.38,0.13,0.12,0.1
3631,3632,sharpie,sharpie,identity,3,0.32,-0.32,0.04,0.21,0.18,0.13
3632,3633,sheet_metal_worker,sheet metal worker,identity,7,0.81,0.23,1.21,0.13,0.14,0.11
3633,3634,shell_gatherer,shell gatherer,identity,1,0.05,-0.18,-0.32,0.14,0.15,0.09
3634,3635,shelter,shelters,behavior,4,1.49,1.97,-0.36,0.27,0.12,0.15
3635,3636,sheriff,sheriff,identity,17,0.99,2.3,1.05,0.14,0.16,0.13
3636,3637,shield,shields,behavior,10,1.08,1.79,0.05,0.26,0.12,0.13
3637,3638,ship_captain,ship captain,identity,8,1.79,2.4,1.39,0.18,0.2,0.12
3638,3639,ship_engineer,ship engineer,identity,7,1.62,1.68,0.37,0.15,0.14,0.1
3639,3640,shirker,shirker,identity,3,-2.04,-1.05,0.47,0.16,0.15,0.15
3640,3641,shock,shocks,behavior,13,-0.6,1.57,1.77,0.21,0.08,0.09
3641,3642,shocked,shocked,modifier,12,-0.22,0.45,1.11,0.22,0.15,0.13
3642,3643,shoe_repairman,shoe repairman,identity,12,1.39,0.08,-0.45,0.12,0.12,0.09
3643,3644,shoemaker,shoemaker,identity,2,0.99,0.54,0.2,0.16,0.11,0.11
3644,3645,shook_up,shook up,modifier,9,-1.73,-0.5,0.54,0.22,0.14,0.12
3645,3646,shoot,shoots,behavior,17,-2.88,1.4,2.62,0.32,0.1,0.17
3646,3647,shop_clerk,shop clerk,identity,9,1.13,-0.47,0.14,0.14,0.13,0.09
3647,3648,shopkeeper,shopkeeper,identity,13,1.16,0.17,0.3,0.12,0.11,0.1
3648,3649,shoplift_from,shoplifts from,behavior,1,-1.6,0.32,-0.1,0.23,0.11,0.13
3649,3650,shoplifter,shoplifter,identity,15,-2.4,-0.47,-0.16,0.25,0.15,0.13
3650,3651,shopper,shopper,identity,10,0.89,0.47,0.67,0.14,0.12,0.1
3651,3652,short_change,short changes,behavior,9,-2.18,-0.17,-0.04,0.19,0.12,0.12
3652,3653,shout,shouts ,behavior,1,-0.7,1.31,2.51,0.18,0.08,0.15
3653,3654,shout_at,shouts at,behavior,10,-1.39,1.29,2.62,0.22,0.08,0.17
3654,3655,shove,shoves,behavior,7,-2.35,1.01,1.65,0.24,0.07,0.11
3655,3656,show_something_to,shows something to,behavior,12,1.26,1.05,0.06,0.18,0.08,0.11
3656,3657,show_warmth_to,shows warmth to,behavior,2,1.63,1.31,0.14,0.21,0.1,0.1
3657,3658,showy,showy,modifier,9,-1.43,0.15,2.02,0.21,0.12,0.17
3658,3659,shrew,shrew,identity,11,-1.11,-1.18,0.31,0.16,0.16,0.13
3659,3660,shrewd,shrewd,modifier,15,-0.66,0.36,-0.11,0.19,0.12,0.11
3660,3661,shrimp,shrimp,identity,9,0.57,-1.9,-0.85,0.18,0.21,0.13
3661,3662,shrink,shrink,identity,8,1.02,0.91,-0.94,0.15,0.18,0.12
3662,3663,shrugging_ones_shoulders,shrugs ones shoulders,behavior,1,0,0.27,-0.21,0.16,0.1,0.11
3663,3664,shun,shuns,behavior,13,-1.78,0.95,-0.25,0.19,0.08,0.11
3664,3665,shush,shushes,behavior,12,-0.54,0.69,0.65,0.16,0.07,0.09
3665,3666,shut_in,shut in,identity,9,-1.1,-1.86,-1.86,0.18,0.23,0.24
3666,3667,shy,shy,modifier,15,-0.4,-1.2,-2.13,0.17,0.17,0.17
3667,3668,shyster,shyster,identity,11,-0.47,-1.09,-1.07,0.19,0.17,0.16
3668,3669,sibling,sibling,identity,15,1.54,1.27,1.13,0.14,0.11,0.09
3669,3670,sick_at_heart,sick at heart,modifier,3,-2.61,-1.41,-1.14,0.24,0.18,0.17
3670,3671,sick_person,sick person,identity,7,-0.63,-1.39,-0.76,0.2,0.22,0.15
3671,3672,sicken,sicken,behavior,7,-2.48,0.61,0.33,0.24,0.09,0.1
3672,3673,sickened,sickened,modifier,12,-2.78,-1.19,-0.86,0.24,0.15,0.13
3673,3674,sidekick,sidekick,identity,9,1.47,-0.14,0.46,0.18,0.16,0.1
3674,3675,sighing,sighs,behavior,1,0.32,0.51,-0.4,0.19,0.12,0.14
3675,3676,sightseer,sightseer,identity,2,0.59,0.92,1.39,0.18,0.14,0.13
3676,3677,signal,signals,behavior,5,1.17,1.32,0.35,0.16,0.08,0.09
3677,3678,silence,silences,behavior,18,-0.79,1.4,0.33,0.18,0.07,0.09
3678,3679,silly,silly,modifier,10,1.43,0.67,1.82,0.21,0.16,0.16
3679,3680,simpleminded,simpleminded,modifier,8,-0.99,-1.54,-1.45,0.17,0.19,0.14
3680,3681,simpleton,simpleton,identity,12,-0.52,-1.54,-1.26,0.15,0.2,0.17
3681,3682,sincere,sincere,modifier,13,3.15,2.54,-0.68,0.25,0.17,0.14
3682,3683,sing_to,sings to,behavior,14,2.4,1.67,1.63,0.24,0.09,0.12
3683,3684,sing_with,sings with,behavior,1,2.76,1.94,1.7,0.28,0.09,0.12
3684,3685,singer,singer,identity,1,1.59,0.98,1.83,0.17,0.12,0.14
3685,3686,single,single,modifier,11,1.07,0.8,-1.08,0.24,0.18,0.17
3686,3687,single_parent,single parent,identity,7,1.33,1.49,0.53,0.16,0.21,0.09
3687,3688,single_person,single person,identity,1,0.52,-0.23,0.29,0.14,0.12,0.12
3688,3689,sinn_feiner,sinn feiner,identity,1,-1.36,-0.59,-0.4,0.2,0.2,0.12
3689,3690,sinner,sinner,identity,19,-1.32,-1.38,-0.67,0.18,0.16,0.18
3690,3691,sissy,sissy,identity,13,-1.32,-1.95,-0.56,0.15,0.19,0.12
3691,3692,sister,sister,identity,19,1.89,1.17,1.06,0.15,0.11,0.1
3692,3693,sister_elder,sister elder,identity,2,1.95,1.37,0.71,0.22,0.16,0.13
3693,3694,sister_in_law,sister in law,identity,15,1,0.01,0.34,0.16,0.13,0.09
3694,3695,sister_my,sister my,identity,1,1.86,0.84,0.63,0.16,0.14,0.12
3695,3696,sister_younger,sister younger,identity,2,1.83,0.7,0.88,0.23,0.18,0.13
3696,3697,sit_next_to,sits next to,behavior,16,1.38,0.66,-0.32,0.17,0.1,0.11
3697,3698,sitting,sits,behavior,1,1.05,0.62,-0.48,0.21,0.11,0.13
3698,3699,skeptic,skeptic,identity,12,-0.33,0.48,0.24,0.23,0.15,0.13
3699,3700,skeptical,skeptical,modifier,9,0.8,0.75,-0.21,0.2,0.14,0.1
3700,3701,skilled_worker,skilled worker,identity,14,2.28,2.03,0.57,0.15,0.15,0.09
3701,3702,skinhead,skinhead,identity,1,-1.61,-1.03,0.9,0.18,0.16,0.13
3702,3703,skirt_chaser,skirt chaser,identity,6,-1.18,-0.88,0.74,0.19,0.16,0.12
3703,3704,slack,slack,modifier,6,-1.65,-1.52,-1.68,0.16,0.16,0.15
3704,3705,slacker,slacker,identity,1,-1.81,-2.2,-0.51,0.23,0.24,0.13
3705,3706,slander,slanders,behavior,7,-2.93,0.79,1.22,0.26,0.08,0.08
3706,3707,slap,slaps,behavior,13,-2.36,1.03,2.25,0.25,0.08,0.13
3707,3708,slash,slashes,behavior,1,-2.57,1.19,1.51,0.28,0.09,0.12
3708,3709,slave,slave,identity,12,-1.83,-2.52,-1.16,0.25,0.26,0.17
3709,3710,slave_driver,slave driver,identity,11,-3.2,1.17,1.48,0.37,0.18,0.16
3710,3711,slay,slays,behavior,10,-2.81,1.89,1.17,0.3,0.1,0.11
3711,3712,sleep_with,sleeps with,behavior,15,1.23,2.17,1.09,0.21,0.1,0.1
3712,3713,sleeper,sleeper,identity,1,-0.13,-0.29,-0.5,0.32,0.19,0.19
3713,3714,sleuth,sleuth,identity,9,-0.47,0.68,-1.26,0.17,0.15,0.18
3714,3715,slight,slights,behavior,4,-2.33,0.3,0.57,0.2,0.08,0.12
3715,3716,slob,slob,identity,9,-2.16,-1.11,-0.85,0.22,0.17,0.15
3716,3717,sloppy,sloppy,modifier,12,-2.04,-1.39,0.85,0.18,0.16,0.14
3717,3718,slothful,slothful,modifier,7,-1.6,-0.72,-0.15,0.2,0.15,0.15
3718,3719,slovakian,slovakian,identity,2,0.11,-0.34,0.17,0.14,0.16,0.09
3719,3720,slug,slugs,behavior,9,-2.36,1.06,1.17,0.23,0.08,0.1
3720,3721,sluggard,sluggard,identity,4,-2.13,-0.5,0.44,0.23,0.17,0.15
3721,3722,sluggish,sluggish,modifier,10,-1.73,-1.12,-0.4,0.19,0.16,0.19
3722,3723,slut,slut,identity,18,-1.92,-1.02,1.34,0.17,0.15,0.12
3723,3724,sly,sly,modifier,15,-0.21,0.61,-0.97,0.18,0.12,0.14
3724,3725,small_businessman,small businessman,identity,6,0.49,0.7,0.89,0.14,0.28,0.14
3725,3726,smart_aleck,smart aleck,identity,12,-1.22,-0.28,1.87,0.21,0.14,0.13
3726,3727,smart_ass,smart ass,identity,1,-1.09,-0.07,1.52,0.26,0.17,0.18
3727,3728,smile_at,smiles at,behavior,19,3.19,2.28,-0.29,0.27,0.11,0.13
3728,3729,smiling,smies,behavior,1,-0.2,0.74,0.15,0.2,0.07,0.1
3729,3730,smirk_at,smirks at,behavior,12,0.07,0.62,0.23,0.19,0.09,0.11
3730,3731,smoker,smoker,identity,13,-1.84,-1.53,-0.47,0.19,0.16,0.13
3731,3732,smother,smothers,behavior,10,-1.86,1.02,0.46,0.21,0.07,0.09
3732,3733,smug,smug,modifier,17,-1.13,-0.21,-0.35,0.21,0.14,0.11
3733,3734,snarl_at,snarls at,behavior,10,-2.13,0.23,1.24,0.18,0.09,0.11
3734,3735,snatching,snatches,behavior,1,-1.71,0.72,1.29,0.24,0.11,0.09
3735,3736,sneak,sneak,identity,5,-0.82,-0.48,-0.31,0.25,0.21,0.16
3736,3737,sneer_at,sneers at,behavior,10,-1.92,0.02,0.07,0.2,0.1,0.11
3737,3738,sneering,sneers,behavior,1,-1.62,0.21,0.44,0.19,0.09,0.1
3738,3739,sniper,sniper,identity,1,0.31,1.52,1.11,0.28,0.14,0.12
3739,3740,sniveling,sniveling,modifier,7,-2.02,-0.55,-0.3,0.2,0.15,0.19
3740,3741,snob,snob,identity,13,-2.27,-0.49,0.98,0.19,0.14,0.13
3741,3742,snobbish,snobbish,modifier,9,-2.68,-0.57,0.57,0.21,0.12,0.11
3742,3743,snoop,snoop,identity,9,-1.56,-0.37,-1.68,0.23,0.18,0.2
3743,3744,snoop_on,snoops on,behavior,1,-2.2,0.17,-0.34,0.22,0.1,0.14
3744,3745,snooty,snooty,modifier,7,-2.32,-0.61,1.05,0.23,0.14,0.12
3745,3746,snot,snot,identity,9,-2.19,-1.47,0.03,0.2,0.18,0.12
3746,3747,snowed,snowed,modifier,9,-0.43,0.2,-0.11,0.42,0.24,0.21
3747,3748,snub,snubs,behavior,15,-1.62,0.19,0.07,0.18,0.09,0.11
3748,3749,snuggle,snuggles,behavior,16,2.57,1.47,-1.62,0.25,0.09,0.21
3749,3750,snuggling,snuggling,behavior,1,-0.72,0.59,0.43,0.22,0.11,0.11
3750,3751,soccer_player,soccer player,identity,1,0.81,0.53,2.14,0.14,0.14,0.15
3751,3752,sociable,sociable,modifier,9,2.43,2.19,2.14,0.25,0.15,0.19
3752,3753,social,social,modifier,1,1.87,1.43,0.15,0.43,0.19,0.17
3753,3754,social_crediter,social crediter,identity,1,0.26,0.62,-0.17,0.17,0.17,0.09
3754,3755,social_outcast,social outcast,identity,2,-1.29,-0.87,-0.14,0.26,0.15,0.11
3755,3756,social_scientist,social scientist,identity,2,1.52,1.02,-0.24,0.12,0.14,0.1
3756,3757,social_worker,social worker,identity,13,2.09,1.14,-0.13,0.16,0.14,0.09
3757,3758,socialist,socialist,identity,8,-0.14,0.18,0.42,0.16,0.1,0.09
3758,3759,socialist_party_member,socialist party member,identity,1,0.56,0.81,0.86,0.14,0.12,0.1
3759,3760,socialite,socialite,identity,2,0.86,0.64,0.82,0.14,0.14,0.09
3760,3761,socially_rehabilitate,socially rehabilitates,behavior,2,2.84,2.52,-0.59,0.22,0.1,0.13
3761,3762,society,society,identity,1,1.52,1.49,0.55,0.22,0.17,0.1
3762,3763,sociologist,sociologist,identity,1,1.38,1.21,-0.15,0.12,0.14,0.11
3763,3764,sock,socks,behavior,13,-2.28,1.01,2.03,0.25,0.09,0.14
3764,3765,soft_soap,soft soap,behavior,3,-0.84,0.59,0.47,0.42,0.19,0.2
3765,3766,soft_spoken,soft spoken,modifier,15,-0.03,-0.99,-2.29,0.19,0.19,0.2
3766,3767,softhearted,softhearted,modifier,7,1.62,0.48,-1.26,0.23,0.16,0.16
3767,3768,software_enginner,software enginner,identity,2,0.44,0.43,-0.27,0.36,0.14,0.13
3768,3769,soldier,soldier,identity,9,1.85,1.82,1.49,0.16,0.15,0.11
3769,3770,solemn,solemn,modifier,9,-0.06,0.18,-2.01,0.18,0.12,0.17
3770,3771,solicitious,solicitious,modifier,2,-0.11,0.11,-0.02,0.23,0.14,0.11
3771,3772,solicitor,solicitor,identity,1,1.11,1.64,0.27,0.13,0.12,0.12
3772,3773,solicitor_general,solicitor general,identity,2,0.97,2.05,0.49,0.22,0.15,0.11
3773,3774,solitary,solitary,modifier,2,-0.72,-0.61,-2.38,0.19,0.15,0.2
3774,3775,someone_is,someone is,behavior,5,-0.03,0.84,0.28,0.39,0.18,0.15
3775,3776,son,son,identity,20,1.73,1.26,0.93,0.14,0.16,0.09
3776,3777,son_dutiful,son dutiful,identity,1,1.79,1.11,0.88,0.14,0.21,0.09
3777,3778,son_in_law,son in law,identity,18,0.9,0.25,0.06,0.14,0.13,0.08
3778,3779,soothe,soothes,behavior,18,2.79,1.91,-1.34,0.25,0.1,0.17
3779,3780,sophist,sophist,identity,1,1.28,1.6,-0.17,0.14,0.14,0.11
3780,3781,sophisticate,sophisticate,identity,11,1.54,1.76,-0.08,0.14,0.14,0.13
3781,3782,sophisticated,sophisticated,modifier,11,2.2,2.08,0.17,0.21,0.14,0.11
3782,3783,sophomore,sophomore,identity,11,0.9,0.05,0.64,0.12,0.14,0.09
3783,3784,sorehead,sorehead,identity,12,-1.84,-0.83,0.15,0.19,0.14,0.13
3784,3785,sorrowful,sorrowful,modifier,16,-1.89,-0.93,-2.05,0.2,0.13,0.16
3785,3786,sorry,sorry,modifier,16,-0.18,-0.18,-1.33,0.27,0.18,0.16
3786,3787,soul_mate,soul mate,identity,12,2.4,1.92,0.35,0.23,0.23,0.13
3787,3788,sound_out,sounds out,behavior,6,0.37,0.99,1.4,0.19,0.08,0.1
3788,3789,south_korean,south korean,identity,1,0.73,0,0.7,0.14,0.15,0.09
3789,3790,sovereign,sovereign,identity,1,0.25,2.2,0.66,0.21,0.19,0.15
3790,3791,spacey,spacey,modifier,9,-0.61,-1.05,-1.64,0.18,0.17,0.16
3791,3792,spam,spams,behavior,2,-0.8,0.43,0.37,0.21,0.09,0.12
3792,3793,spank,spanks,behavior,7,-1.49,1.25,1.2,0.23,0.08,0.1
3793,3794,spare,spares,behavior,1,0.07,1.11,-1.06,0.31,0.14,0.16
3794,3795,speak_ill_of,speaks ill of,behavior,1,-0.83,0.66,0.74,0.26,0.08,0.1
3795,3796,speak_out_against,speaks out against,behavior,2,-0.21,1.35,1.73,0.18,0.07,0.1
3796,3797,speak_to,speaks to,behavior,13,2,1.58,1.68,0.21,0.08,0.1
3797,3798,speak_with,speaks with,behavior,1,2.34,1.75,1.42,0.24,0.08,0.11
3798,3799,speaker_house_commons,speaker house commons,identity,1,1.01,1.59,0.94,0.15,0.22,0.25
3799,3800,speaking_in_amonotone,speaks in amonotone,behavior,1,1.1,1.01,1.47,0.24,0.1,0.11
3800,3801,speaking_nasally,speaks nasally,behavior,1,1.09,1.32,1.36,0.21,0.09,0.09
3801,3802,speaking_very_loudly,speaks very loudly,behavior,1,0.81,1.18,1.51,0.22,0.09,0.09
3802,3803,speaking_very_quickly,speaks very quickly,behavior,1,0.99,1.23,1.35,0.2,0.08,0.09
3803,3804,speaking_very_slowly,speaks very slowly,behavior,1,1,1.12,1.22,0.21,0.08,0.09
3804,3805,speaking_very_softly,speaks very softly,behavior,1,0.74,0.98,1.05,0.2,0.09,0.11
3805,3806,special_interest_group,special interest group,identity,1,0.99,0.94,0.66,0.16,0.13,0.12
3806,3807,specialist,specialist,identity,12,1.94,2.07,0.42,0.14,0.15,0.11
3807,3808,spectator,spectator,identity,9,0.56,-0.73,-0.23,0.15,0.15,0.11
3808,3809,speech_language_pathologist,speech language pathologist,identity,6,1.14,0.84,-0.16,0.15,0.14,0.26
3809,3810,speeder,speeder,identity,9,-1.21,0.52,2.63,0.24,0.16,0.19
3810,3811,spendthrift,spendthrift,identity,10,-0.52,-0.87,-0.45,0.18,0.16,0.15
3811,3812,spin_bowler,spin bowler,identity,2,0.01,0.01,1.08,0.13,0.14,0.17
3812,3813,spinster,spinster,identity,10,0.36,-1.04,-0.86,0.15,0.16,0.18
3813,3814,spirited,spirited,modifier,7,2.49,2.09,2.02,0.23,0.15,0.16
3814,3815,spit_on,spits on,behavior,1,-1.95,0.66,1.2,0.2,0.08,0.09
3815,3816,spiteful,spiteful,modifier,15,-2.47,-0.24,0.29,0.23,0.12,0.12
3816,3817,spitting,spits,behavior,1,-1.35,0.77,1.19,0.17,0.08,0.09
3817,3818,spoil,spoils,behavior,11,-0.21,1.23,0.58,0.25,0.08,0.09
3818,3819,spoiled,spoiled,modifier,10,-1.62,0.02,1.18,0.23,0.14,0.14
3819,3820,spoilsport,spoilsport,identity,10,-1.88,-0.29,1.08,0.21,0.15,0.13
3820,3821,spokesman,spokesman,identity,7,0.97,1.86,0.97,0.16,0.14,0.12
3821,3822,spokeswoman,spokeswoman,identity,2,0.8,0.65,1,0.14,0.12,0.1
3822,3823,spong,spong,identity,1,-0.66,-0.64,0.22,0.2,0.13,0.17
3823,3824,sponger,sponger,identity,10,-0.31,-0.82,-0.19,0.19,0.15,0.11
3824,3825,sponsor,sponsors,behavior,1,2.05,2.19,0.56,0.21,0.1,0.09
3825,3826,sponsor,sponsor,identity,3,2.15,2.01,0.61,0.15,0.14,0.09
3826,3827,spoof,spoofs,behavior,3,-0.98,0.5,1.19,0.18,0.07,0.09
3827,3828,spook,spooks,behavior,5,-1.72,0.91,1.3,0.2,0.07,0.09
3828,3829,spook,spook,identity,6,-1.19,0.03,0.97,0.18,0.14,0.11
3829,3830,sports_fan,sports fan,identity,12,1.27,0.65,2.21,0.15,0.11,0.16
3830,3831,sports_fisherman,sports fisherman,identity,2,1.25,0.49,0.34,0.12,0.13,0.2
3831,3832,spot,spots,behavior,1,0.44,1.14,0.39,0.23,0.09,0.1
3832,3833,spouse,spouse,identity,14,2.31,1.87,0.63,0.16,0.15,0.08
3833,3834,spouse_female,spouse female,identity,2,2.29,1.54,0.59,0.27,0.32,0.08
3834,3835,spouse_male,spouse male,identity,2,2.12,1.7,0.62,0.31,0.26,0.09
3835,3836,spurn,spurns,behavior,10,-1.32,0.42,0.77,0.16,0.08,0.08
3836,3837,spy,spy,identity,15,-0.06,1.26,-0.27,0.24,0.16,0.18
3837,3838,spy_on,spies on,behavior,1,-2.06,0.91,-0.55,0.3,0.07,0.15
3838,3839,square,square,identity,4,0.06,0.1,-0.36,0.19,0.18,0.17
3839,3840,squatter,squatter,identity,1,-1.43,-1.07,-0.96,0.2,0.17,0.16
3840,3841,squeamish,squeamish,modifier,9,-1.82,-1.03,-0.17,0.18,0.14,0.13
3841,3842,squeeze,squeezes,behavior,5,-0.04,1.05,-0.42,0.25,0.1,0.14
3842,3843,squirt,squirt,identity,3,-1.44,-0.93,0.53,0.17,0.19,0.13
3843,3844,stab,stabs,behavior,13,-3.06,1.74,2.04,0.35,0.11,0.14
3844,3845,stable,stable,modifier,10,3.14,2.58,-1.05,0.25,0.17,0.15
3845,3846,staff_worker,staff worker,identity,2,1.5,0.54,0.59,0.13,0.19,0.1
